x,y,data
28.5,172.805,38.94481213815873
33.25,180.975,35.78342806347845
33.25,164.54,35.140068300308414
38.0,172.805,31.16631166448652
42.75,180.975,23.16784215540586
42.75,164.54,30.061961011921305
47.5,172.805,28.003286809425653
52.25,180.975,22.70535163429795
52.25,164.54,34.393235090811466
-0.0,172.805,23.971189723730824
4.75,180.975,22.93443088152217
4.75,164.54,42.37809661120352
9.5,172.805,28.914216056747623
14.25,180.975,35.01795645398435
14.25,164.54,29.504953524501804
19.0,172.805,32.64896262605436
23.75,180.975,29.85326005883215
23.75,164.54,29.234463734393564
71.25,148.105,32.79783926803991
66.5,139.84,33.72539200066054
66.5,156.275,31.174559071985392
61.75,148.105,33.10226700530496
57.0,139.84,29.091315578755705
57.0,156.275,30.328828402631537
52.25,148.105,32.58250269543358
47.5,139.84,30.75319202269106
47.5,156.275,27.637334911182684
42.75,148.105,27.242086471043976
38.0,139.84,30.6428910154029
38.0,156.275,34.724620631773746
33.25,148.105,42.653207062959176
28.5,139.84,25.558891562522263
28.5,156.275,25.506843443854134
23.75,148.105,31.49403463576146
19.0,139.84,26.232651139793305
19.0,156.275,28.369411072709187
114.0,123.405,24.084094058720257
109.25,115.13999999999999,29.421918341932045
109.25,131.67,31.078272069061832
104.5,123.405,27.17219040264117
99.75,115.13999999999999,34.79343927161191
99.75,131.67,32.98858538326928
95.0,123.405,36.885353965382095
90.25,115.13999999999999,34.68022890443697
90.25,131.67,39.083090896717536
133.0,123.405,26.649583440834814
128.25,131.67,26.608286201462253
123.5,123.405,29.262390978208654
118.75,115.13999999999999,22.30214677054943
123.5,139.84,31.244975646023253
118.75,131.67,20.584241302293933
114.0,139.84,24.997239443189333
109.25,148.105,35.00037826268776
104.5,139.84,30.161269552749964
104.5,156.275,34.67101005069574
99.75,148.105,30.12525993222086
95.0,156.275,21.722737741122817
90.25,164.54,38.267885078129375
95.0,139.84,35.20972081048983
90.25,148.105,36.54705806582565
85.5,139.84,20.62291610607306
80.75,148.105,37.78315712301359
76.0,139.84,26.446316851109277
85.5,156.275,31.473019491555632
80.75,164.54,38.95492809995143
76.0,156.275,37.1788549007375
76.0,172.805,28.632744001331936
71.25,164.54,35.67997412368863
66.5,172.805,25.00999744140409
61.75,164.54,27.260298004736395
61.75,180.975,27.903587529136033
57.0,172.805,24.408489764803925
128.25,98.70500000000001,20.760716016666215
123.5,90.535,30.73940635525829
123.5,106.97,32.36426039034426
118.75,98.70500000000001,30.37610026722619
114.0,90.535,35.5997052471325
114.0,106.97,31.09332858880839
109.25,98.70500000000001,31.380983078585007
104.5,90.535,33.87195542068979
104.5,106.97,37.38423656912559
152.0,106.97,31.187003511522477
147.25,98.70500000000001,30.337625038671245
142.5,106.97,31.55617264120326
